_id,userInputs,userID,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone
5fdd57d3f9af8b16e6675e0b,"[{""userID"": 9266, ""milesRequested"": 160, ""WhPerMile"": 300, ""minutesAvailable"": 461, ""modifiedAt"": ""Tue, 01 Dec 2020 02:10:41 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 01 Dec 2020 09:51:20 GMT"", ""kWhRequested"": 48.0}]",000009266,5fdd57d3f9af8b16e6675e0b,2-39-81-4550,11900388,0002,0039,"Tue, 01 Dec 2020 02:10:20 GMT","Tue, 01 Dec 2020 02:49:04 GMT",21.032,,America/Los_Angeles
5fdd57d3f9af8b16e6675e0c,"[{""userID"": 9625, ""milesRequested"": 90, ""WhPerMile"": 319, ""minutesAvailable"": 259, ""modifiedAt"": ""Tue, 01 Dec 2020 04:03:33 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 01 Dec 2020 08:21:32 GMT"", ""kWhRequested"": 28.71}]",000009625,5fdd57d3f9af8b16e6675e0c,2-39-81-4550,11900388,0002,0039,"Tue, 01 Dec 2020 04:02:32 GMT","Tue, 01 Dec 2020 04:17:36 GMT",6.367,,America/Los_Angeles
5fdd57d3f9af8b16e6675e0d,,,5fdd57d3f9af8b16e6675e0d,2-39-127-19,CA-309,0002,0039,"Tue, 01 Dec 2020 04:19:01 GMT","Tue, 01 Dec 2020 04:54:25 GMT",0.737,"Tue, 01 Dec 2020 04:49:38 GMT",America/Los_Angeles
5fdd57d8f9af8b16e6675e0e,"[{""userID"": 8677, ""milesRequested"": 50, ""WhPerMile"": 310, ""minutesAvailable"": 240, ""modifiedAt"": ""Tue, 01 Dec 2020 13:59:05 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 01 Dec 2020 17:59:06 GMT"", ""kWhRequested"": 15.5}]",000008677,5fdd57d8f9af8b16e6675e0e,2-39-131-30,CA-305,0002,0039,"Tue, 01 Dec 2020 13:59:06 GMT","Tue, 01 Dec 2020 19:33:50 GMT",7.877,"Tue, 01 Dec 2020 15:20:41 GMT",America/Los_Angeles
5fdd57d8f9af8b16e6675e0f,"[{""userID"": 9048, ""milesRequested"": 30, ""WhPerMile"": 450, ""minutesAvailable"": 300, ""modifiedAt"": ""Tue, 01 Dec 2020 17:32:55 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 01 Dec 2020 22:32:45 GMT"", ""kWhRequested"": 13.5}, {""userID"": 9048, ""milesRequested"": 30, ""WhPerMile"": 450, ""minutesAvailable"": 180, ""modifiedAt"": ""Tue, 01 Dec 2020 17:33:14 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 01 Dec 2020 20:32:45 GMT"", ""kWhRequested"": 13.5}]",000009048,5fdd57d8f9af8b16e6675e0f,2-39-139-28,CA-303,0002,0039,"Tue, 01 Dec 2020 17:32:45 GMT","Wed, 02 Dec 2020 02:10:17 GMT",10.166,"Tue, 01 Dec 2020 20:29:36 GMT",America/Los_Angeles
5fdd57d8f9af8b16e6675e10,"[{""userID"": 5594, ""milesRequested"": 100, ""WhPerMile"": 250, ""minutesAvailable"": 480, ""modifiedAt"": ""Tue, 01 Dec 2020 18:07:39 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 02 Dec 2020 02:07:40 GMT"", ""kWhRequested"": 25.0}]",000005594,5fdd57d8f9af8b16e6675e10,2-39-129-17,CA-307,0002,0039,"Tue, 01 Dec 2020 18:07:40 GMT","Tue, 01 Dec 2020 20:25:15 GMT",6.197,"Tue, 01 Dec 2020 20:05:24 GMT",America/Los_Angeles
5fdd57d8f9af8b16e6675e11,"[{""userID"": 751, ""milesRequested"": 60, ""WhPerMile"": 340, ""minutesAvailable"": 360, ""modifiedAt"": ""Tue, 01 Dec 2020 21:14:07 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 02 Dec 2020 03:14:07 GMT"", ""kWhRequested"": 20.4}]",000000751,5fdd57d8f9af8b16e6675e11,2-39-79-380,CA-489,0002,0039,"Tue, 01 Dec 2020 21:14:07 GMT","Wed, 02 Dec 2020 01:29:00 GMT",1.471,"Tue, 01 Dec 2020 21:37:48 GMT",America/Los_Angeles
5fdd57d8f9af8b16e6675e12,"[{""userID"": 1082, ""milesRequested"": 20, ""WhPerMile"": 290, ""minutesAvailable"": 120, ""modifiedAt"": ""Tue, 01 Dec 2020 21:56:56 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 01 Dec 2020 23:56:25 GMT"", ""kWhRequested"": 5.8}]",000001082,5fdd57d8f9af8b16e6675e12,2-39-78-365,CA-321,0002,0039,"Tue, 01 Dec 2020 21:56:25 GMT","Wed, 02 Dec 2020 02:42:15 GMT",2.254,"Tue, 01 Dec 2020 23:03:06 GMT",America/Los_Angeles
5fdd57d8f9af8b16e6675e13,"[{""userID"": 7132, ""milesRequested"": 30, ""WhPerMile"": 274, ""minutesAvailable"": 480, ""modifiedAt"": ""Tue, 01 Dec 2020 22:42:13 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 02 Dec 2020 06:40:53 GMT"", ""kWhRequested"": 8.22}]",000007132,5fdd57d8f9af8b16e6675e13,2-39-81-4550,11900388,0002,0039,"Tue, 01 Dec 2020 22:40:53 GMT","Tue, 01 Dec 2020 23:12:44 GMT",8.753,,America/Los_Angeles
5fdd57d8f9af8b16e6675e14,"[{""userID"": 1895, ""milesRequested"": 300, ""WhPerMile"": 283, ""minutesAvailable"": 865, ""modifiedAt"": ""Wed, 02 Dec 2020 00:02:32 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 02 Dec 2020 14:27:33 GMT"", ""kWhRequested"": 84.9}]",000001895,5fdd57d8f9af8b16e6675e14,2-39-81-4550,11900388,0002,0039,"Wed, 02 Dec 2020 00:02:33 GMT","Wed, 02 Dec 2020 00:27:39 GMT",17.846,,America/Los_Angeles
5fdd57d8f9af8b16e6675e15,"[{""userID"": 316, ""milesRequested"": 70, ""WhPerMile"": 290, ""minutesAvailable"": 146, ""modifiedAt"": ""Wed, 02 Dec 2020 01:33:29 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Wed, 02 Dec 2020 03:59:06 GMT"", ""kWhRequested"": 20.3}]",000000316,5fdd57d8f9af8b16e6675e15,2-39-81-4550,11900388,0002,0039,"Wed, 02 Dec 2020 01:33:06 GMT","Wed, 02 Dec 2020 02:21:23 GMT",14.042,,America/Los_Angeles
